sample_id,province,fws
Sample5024244,Copperbelt,0.994399294
Sample5026338,Copperbelt,0.715888148
Sample5026610,Copperbelt,0.995127018
Sample5026616,Copperbelt,0.844488836
Sample5026698,Copperbelt,0.99535859
Sample5026718,Copperbelt,0.913587705
Sample5026742,Copperbelt,0.990176039
Sample5026760,Copperbelt,0.784261801
Sample5026771,Copperbelt,0.908202468
Sample5026793,Copperbelt,0.633183711
Sample5026805,Copperbelt,0.936775596
Sample5026814,Copperbelt,0.45024652
Sample5026847,Copperbelt,0.391754159
Sample5026866,Copperbelt,0.992150332
Sample5024376,Eastern,0.488115689
Sample5024535,Eastern,0.381134299
Sample5024536,Eastern,0.621024512
Sample5024549,Eastern,0.454418678
Sample5024608,Eastern,0.675400175
Sample5024610,Eastern,0.942880217
Sample5026206,Eastern,0.849991033
Sample5026316,Eastern,0.520253685
Sample5026871,Eastern,0.492424205
Sample5026877,Eastern,0.718444204
Sample5026878,Eastern,0.553338135
Sample5026883,Eastern,0.71003488
Sample5026884,Eastern,0.603331094
Sample5026910,Eastern,0.445300551
Sample5026911,Eastern,0.988669365
Sample5026916,Eastern,0.610170741
PU1,Luapula,0.805521593
PU10,Luapula,0.736008394
PU11,Luapula,0.762586171
PU12,Luapula,0.565834561
PU13,Luapula,0.704389108
PU14,Luapula,0.439166806
PU15,Luapula,0.451271565
PU16,Luapula,0.670061678
PU2,Luapula,0.543376091
PU3,Luapula,0.830938166
PU4,Luapula,0.462312368
PU5,Luapula,0.533593595
PU6,Luapula,0.798429725
PU7,Luapula,0.806480139
PU8,Luapula,0.680311713
PU9,Luapula,0.396643651
Sample5024006,Luapula,0.54926464
Sample5024008,Luapula,0.592547362
Sample5024009,Luapula,0.748479775
Sample5024011,Luapula,0.501154524
Sample5024012,Luapula,0.808559709
Sample5024019,Luapula,0.957190104
Sample5024029,Luapula,0.910029001
Sample5024047,Luapula,0.923408309
Sample5024051,Luapula,0.346752487
Sample5024054,Luapula,0.455477546
Sample5024055,Luapula,0.39890102
Sample5024056,Luapula,0.622676791
Sample5024069,Luapula,0.507206402
Sample5024082,Luapula,0.846212463
Sample5024083,Luapula,0.557741818
Sample5024085,Luapula,0.946652137
Sample5024086,Luapula,0.323615135
Sample5024096,Luapula,0.471914803
Sample5024226,Luapula,0.814457072
Sample5024252,Luapula,0.506034246
Sample5024262,Luapula,0.925155631
Sample5024264,Luapula,0.269670246
Sample5024414,Luapula,0.603310492
Sample5024416,Luapula,0.600085249
Sample5024442,Luapula,0.593184015
Sample5024463,Luapula,0.638992401
Sample5024673,Luapula,0.382852111
Sample5024680,Luapula,0.994750155
Sample5024681,Luapula,0.82996965
Sample5024686,Luapula,0.988411
Sample5024697,Luapula,0.789542905
Sample5024701,Luapula,0.901159545
Sample5024704,Luapula,0.511268098
Sample5024706,Luapula,0.589726219
Sample5024711,Luapula,0.727055742
Sample5024719,Luapula,0.54603417
Sample5024818,Luapula,0.31672654
Sample5024819,Luapula,0.626483276
Sample5024820,Luapula,0.425454817
Sample5024831,Luapula,0.832414101
Sample5024833,Luapula,0.393246792
Sample5024838,Luapula,0.994742536
Sample5024839,Luapula,0.876014961
Sample5024981,Luapula,0.489595794
Sample5024992,Luapula,0.444043231
Sample5024996,Luapula,0.890397288
Sample5025114,Luapula,0.92983525
Sample5025116,Luapula,0.99248915
Sample5025117,Luapula,0.350822802
Sample5025118,Luapula,0.339761906
Sample5025119,Luapula,0.75423845
Sample5025122,Luapula,0.695331553
Sample5025123,Luapula,0.85144971
Sample5025125,Luapula,0.605064566
Sample5025257,Luapula,0.477558469
Sample5025261,Luapula,0.362325469
Sample5025262,Luapula,0.47727188
Sample5025263,Luapula,0.426712883
Sample5025264,Luapula,0.585116682
Sample5025266,Luapula,0.654059729
Sample5025268,Luapula,0.994388812
Sample5025334,Luapula,0.905165029
Sample5025398,Luapula,0.639125254
Sample5025499,Luapula,0.388576979
Sample5025909,Luapula,0.356492677
Sample5025922,Luapula,0.912403236
Sample5025923,Luapula,0.94130179
Sample5025929,Luapula,0.992595807
Sample5025930,Luapula,0.806403603
Sample5025953,Luapula,0.644688652
Sample5025954,Luapula,0.368146372
Sample5025957,Luapula,0.991817937
Sample5025964,Luapula,0.508158931
