sample_id,province,district,ward,cluster_id,cluster_latitude,cluster_longitude,cluster_altitude,FWS,polygenomic_infection
Sample5026847,Copperbelt,Lufwanyama,Kabundia,20,-12.83640372,27.44073801,1239.652174,0.39,No
Sample5024244,Copperbelt,Lufwanyama,Mibenge,21,-13.08809843,28.09233525,1181.263158,0.99,Yes
Sample5026698,Copperbelt,Masaiti,Chondwe,22,-13.13254924,28.7716159,1308.045455,1.00,Yes
Sample5026814,Copperbelt,Masaiti,Chondwe,22,-13.13254924,28.7716159,1308.045455,0.45,No
Sample5026742,Copperbelt,Masaiti,Mishikishi,23,-13.35111069,28.66691108,1241.571429,0.99,Yes
Sample5026718,Copperbelt,Masaiti,Mishikishi,23,-13.35111069,28.66691108,1241.571429,0.91,No
Sample5026771,Copperbelt,Masaiti,Mishikishi,23,-13.35111069,28.66691108,1241.571429,0.91,No
Sample5026760,Copperbelt,Masaiti,Mishikishi,23,-13.35111069,28.66691108,1241.571429,0.78,No
Sample5026610,Copperbelt,Mpongwe,Kasonga,24,-13.52160939,27.47342157,1169.583333,1.00,Yes
Sample5026805,Copperbelt,Mpongwe,Kasonga,24,-13.52160939,27.47342157,1169.583333,0.94,No
Sample5026616,Copperbelt,Mpongwe,Kasonga,24,-13.52160939,27.47342157,1169.583333,0.84,No
Sample5026866,Copperbelt,Mpongwe,Ibenga,25,-13.44089653,28.41040412,1218.173913,0.99,Yes
Sample5026793,Copperbelt,Mpongwe,Ibenga,25,-13.44089653,28.41040412,1218.173913,0.63,No
Sample5026338,Copperbelt,Mpongwe,Ibenga,25,-13.44089653,28.41040412,1218.173913,0.52,No
Sample5024608,Eastern,Chadiza,Chanjowe,29,-14.02595882,32.39250458,1011.4,0.68,No
Sample5024610,Eastern,Katete,Kafumbwe,34,-14.18136107,32.28005799,976.3913043,0.94,No
Sample5026911,Eastern,Lundazi,Chibande,37,-12.71786598,32.23911011,568.96,0.99,Yes
Sample5026916,Eastern,Lundazi,Chibande,37,-12.71786598,32.23911011,568.96,0.61,No
Sample5024549,Eastern,Lundazi,Chaboli,38,-12.24142949,33.30039514,1220.73913,0.45,No
Sample5024536,Eastern,Lundazi,Wachitangachi,39,-12.3388435,32.94816891,1032.916667,0.62,No
Sample5024376,Eastern,Lundazi,Wachitangachi,39,-12.3388435,32.94816891,1032.916667,0.49,No
Sample5026910,Eastern,Lundazi,Wachitangachi,39,-12.3388435,32.94816891,1032.916667,0.45,No
Sample5024535,Eastern,Lundazi,Wachitangachi,39,-12.3388435,32.94816891,1032.916667,0.38,No
Sample5026206,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.99,Yes
Sample5026316,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.85,No
Sample5026877,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.72,No
Sample5026883,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.71,No
Sample5026884,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.60,No
Sample5026878,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.55,No
Sample5026871,Eastern,Nyimba,Luangwa,47,-14.12301079,30.30874565,491.36,0.49,No
Sample5025334,Luapula,Mwense,Kalanga,56,-10.38849803,28.6925381,956.1666667,0.91,No
Sample5024981,Luapula,Mwense,Kalanga,56,-10.38849803,28.6925381,956.1666667,0.49,No
Sample5024992,Luapula,Mwense,Kalanga,56,-10.38849803,28.6925381,956.1666667,0.44,No
Sample5026309,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,1.00,Yes
Sample5026297,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.97,Yes
Sample5026290,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.88,No
Sample5026293,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.76,No
Sample5026152,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.66,No
Sample5024719,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.55,No
Sample5024252,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.51,No
Sample5026142,Luapula,Nchelenge,Chilongo,57,-9.335286538,28.73948812,941.3333333,0.32,No
Sample5025122,Luapula,Chiengi,Lunchinda,58,-8.510665373,28.98603951,924.3181818,0.70,No
Sample5026416,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.99,Yes
PU6,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.80,No
Sample5026421,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.78,No
Sample5026409,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.62,No
Sample5026402,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.55,No
PU5,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.53,No
PU4,Luapula,Chiengi,Lambwe Chomba,59,-8.424054066,29.5699815,1020.5,0.46,No
Sample5025116,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.99,Yes
Sample5026311,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.95,Yes
Sample5025114,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.93,No
Sample5025123,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.85,No
Sample5025119,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.75,No
Sample5026350,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.72,No
Sample5026312,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.38,No
Sample5025117,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.35,No
Sample5025118,Luapula,Chiengi,Chipamba,60,-8.92129818,29.07522606,975.16,0.34,No
Sample5026407,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.97,Yes
Sample5025125,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.61,No
Sample5026433,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.44,No
Sample5026437,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.43,No
Sample5026438,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.40,No
Sample5024414,Luapula,Chipili,Nalupembe,62,-10.79826882,29.13898841,1224.391304,0.60,No
Sample5024416,Luapula,Chipili,lupembe,62,-10.79826882,29.13898841,1224.391304,0.60,No
Sample5024442,Luapula,Kawambwa,Fisaka,63,-9.908447113,29.27683594,1196.48,0.59,No
Sample5024463,Luapula,Kawambwa,Chibote,64,-9.982904673,29.42036525,1207.458333,0.64,No
Sample5026460,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,1.00,Yes
Sample5024838,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.99,Yes
Sample5024839,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.88,No
Sample5024831,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.83,No
Sample5026480,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.76,No
Sample5024711,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.73,No
PU13,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.70,No
PU16,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.67,No
Sample5024706,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.59,No
Sample5026468,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.58,No
PU15,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.45,No
PU14,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.44,No
Sample5024833,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.39,No
Sample5024047,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.92,No
