IBD_percent,fraction_IBD.iida,fraction_IBD.iidb
0,PU16,Sample5026698
0,Sample5024171,Sample5026847
0,Sample5024179,Sample5026871
0,Sample5024055,Sample5025262
0,Sample5024414,Sample5026311
0,Sample5024833,Sample5025684
0,Sample5024992,Sample5026134
0,Sample5025261,Sample5026735
0,Sample5025499,Sample5025782
0,Sample5025909,Sample5026031
0,Sample5024884,Sample5026031
0,Sample5025782,Sample5026031
0,Sample5026297,Sample5026311
0,Sample5026311,Sample5026735
0,Sample5025065,Sample5025684
100,Sample5026718,Sample5026771
100,PU23,PU24
100,Sample5024179,Sample5024465
100,Sample5024461,Sample5024472
99.98830085,Sample5025909,Sample5026311
99.3198747,Sample5024226,Sample5026452
95.68377695,PU17,PU20
84.57208819,Sample5025499,Sample5026311
80.60721678,Sample5025499,Sample5025909
80.4148143,Sample5025499,Sample5026297
79.94185733,Sample5025909,Sample5026297
60.36487141,Sample5024414,Sample5025909
60.08847046,Sample5025263,Sample5025264
59.60573189,PU18,Sample5024310
56.93927867,Sample5025909,Sample5025973
52.95350109,Sample5024414,Sample5026297
48.25656779,Sample5024171,Sample5024467
48.21437472,Sample5024414,Sample5025499
43.83675193,Sample5024500,Sample5026773
40.79724828,Sample5024173,Sample5025909
40.25233118,Sample5024173,Sample5026311
38.89060953,Sample5025499,Sample5025973
35.7493337,Sample5025499,Sample5026031
35.03222457,Sample5024173,Sample5025499
33.66705548,Sample5024171,Sample5024472
33.66421723,Sample5026031,Sample5026311
33.55091897,Sample5024884,Sample5026311
33.09859818,Sample5025973,Sample5026297
32.24474404,Sample5024171,Sample5024461
30.88892043,Sample5025973,Sample5026311
30.87850888,Sample5024884,Sample5025909
29.79363816,Sample5025782,Sample5025909
24.93253262,Sample5024467,Sample5024469
24.45059707,Sample5025782,Sample5026311
23.01902669,Sample5024820,Sample5025954
22.36668859,Sample5025782,Sample5026297
21.18907964,Sample5026031,Sample5026297
20.8038178,Sample5025499,Sample5025654
19.75664048,Sample5024054,Sample5024055
19.43029317,Sample5025941,Sample5025958
19.39934236,Sample5025654,Sample5026311
19.28014953,Sample5025261,Sample5026441
18.96102593,Sample5024884,Sample5025499
17.92566889,Sample5024171,Sample5025118
17.59584646,PU2,Sample5026032
17.0918279,Sample5024549,Sample5025954
17.08122945,Sample5024884,Sample5026297
16.47040601,Sample5024376,Sample5025684
16.28368696,Sample5026399,Sample5026400
15.61338133,Sample5025257,Sample5025263
14.82577965,Sample5024086,Sample5025684
14.38742515,Sample5026578,Sample5026588
14.04377834,Sample5024706,Sample5024818
13.94476134,Sample5024264,Sample5025076
13.90586342,Sample5024055,Sample5025065
13.85257693,Sample5024171,Sample5024469
13.10387318,PU15,Sample5026441
13.05326918,Sample5025654,Sample5025909
12.81876709,Sample5024054,Sample5026443
12.20919317,PU28,Sample5024086
12.14922294,Sample5024096,Sample5026578
11.73044893,PU14,Sample5024706
11.62998512,Sample5025684,Sample5026134
11.51606383,Sample5024173,Sample5026297
11.37792392,PU15,Sample5026438
11.21138071,Sample5024264,Sample5026438
10.93126579,Sample5024264,Sample5025942
10.8906303,Sample5024055,Sample5026443
10.60167872,Sample5024706,Sample5025117
10.53001627,Sample5025942,Sample5026443
10.48919733,Sample5025684,Sample5026316
10.45649164,Sample5025263,Sample5025499
10.45002596,Sample5024054,Sample5026240
10.37210896,PU15,Sample5026883
10.34578242,PU4,Sample5024376
10.34386141,PU12,Sample5024376
10.33579661,Sample5024833,Sample5025942
10.28218822,Sample5024820,Sample5025964
10.27086636,Sample5024011,Sample5024086
10.26766467,Sample5024442,Sample5025117
10.23225226,PU28,Sample5024008
10.21290021,Sample5024818,Sample5025942
10.19923852,PU14,PU16
10.19488422,PU14,Sample5026847
10.17822159,Sample5024006,Sample5025684
10.15313766,Sample5024673,Sample5025117
10.15188467,Sample5025065,Sample5026443
10.14259804,PU4,Sample5024006
10.14208923,Sample5025125,Sample5026438
10.08546606,Sample5025257,Sample5025261
9.999653871,Sample5024171,Sample5026438
9.973109273,Sample5024086,Sample5026316
9.958883389,PU28,Sample5024416
9.890443391,Sample5025117,Sample5025684
9.882665882,Sample5024096,Sample5024485
9.837873386,Sample5024833,Sample5026578
9.758627254,Sample5024096,Sample5026441
9.723917483,Sample5024054,Sample5024086
9.708905888,Sample5025262,Sample5025263
9.618964383,PU25,Sample5024056
9.577595099,Sample5025065,Sample5025942
9.490107646,Sample5024055,Sample5024376
9.470077187,PU4,Sample5025684
9.470077187,Sample5025684,Sample5026438
9.466955107,PU4,Sample5026438
9.439372123,Sample5026240,Sample5026402
9.436571943,PU14,Sample5024264
9.40007961,Sample5024054,Sample5024376
9.352320792,Sample5024054,Sample5026438
9.347042332,Sample5024992,Sample5026032
9.340867398,Sample5024376,Sample5026438
9.294430792,PU15,Sample5026402
9.243300682,Sample5025117,Sample5025118
9.188203939,Sample5025065,Sample5026578
9.130307016,Sample5024981,Sample5026437
9.017212973,Sample5024086,Sample5026578
8.974068049,Sample5024264,Sample5024833
8.970340244,PU2,Sample5025954
8.959596414,Sample5024264,Sample5026871
8.791665224,PU4,Sample5026578
8.786168703,PU1,PU26
8.74943408,Sample5026032,Sample5026438
8.747661902,PU14,Sample5025942
8.739946696,Sample5024833,Sample5026441
8.73193382,Sample5025684,Sample5026578
8.705209235,Sample5025261,Sample5026578
8.69601606,PU4,Sample5025261
8.67396421,Sample5024833,Sample5026134
8.670897511,Sample5024086,Sample5024818
8.660136375,PU12,Sample5024171
8.653701845,Sample5024264,Sample5025684
8.63971479,PU28,Sample5024054
8.621421896,Sample5024054,Sample5026468
8.621020387,Sample5024719,Sample5025118
8.572579696,Sample5026871,Sample5026878
8.563590738,Sample5024054,Sample5025065
8.562192378,Sample5026054,Sample5026578
8.543283375,Sample5024264,Sample5025261
8.533823682,Sample5024264,Sample5026134
8.532338791,Sample5026134,Sample5026441
8.530968122,PU4,Sample5026588
8.528666367,Sample5024054,Sample5024416
8.518216746,Sample5024264,Sample5026441
8.476819771,Sample5024051,Sample5026441
8.46322038,PU4,Sample5024086
8.446955799,Sample5024549,Sample5024591
8.438967152,PU2,Sample5024055
8.422127998,PU16,Sample5026588
8.380544114,PU15,Sample5024833
8.380135682,Sample5025076,Sample5026134
8.320380049,Sample5024673,Sample5025262
8.30024229,Sample5024165,Sample5024173
8.275421412,Sample5024006,Sample5024820
8.224014399,Sample5024086,Sample5026438
8.217091828,PU14,PU15
8.186410993,Sample5024711,Sample5026578
8.165598283,PU25,Sample5024818
8.154788689,Sample5024818,Sample5025398
8.110439237,Sample5024086,Sample5025261
8.107310235,Sample5024055,Sample5024992
8.068280779,Sample5026240,Sample5026773
8.059811014,Sample5024981,Sample5024992
8.014142813,Sample5024591,Sample5025263
8.002959399,PU12,Sample5026578
7.966079402,Sample5025118,Sample5025942
7.963030009,Sample5026206,Sample5026297
7.848807587,PU4,Sample5025118
7.840445121,PU2,Sample5026054
7.836706933,Sample5024820,Sample5025263
7.825080475,Sample5024376,Sample5026578
7.808445537,Sample5024083,Sample5026437
7.783527742,Sample5024442,Sample5024549
7.776837077,PU2,Sample5025261
7.752313869,Sample5024549,Sample5025264
7.673507321,PU28,Sample5024051
7.670309093,Sample5024171,Sample5026443
7.665221003,Sample5025118,Sample5026437
7.64636392,Sample5024006,Sample5025118
7.639829012,Sample5024376,Sample5025117
7.637980686,PU13,PU26
7.637458032,Sample5025118,Sample5026433
7.587137863,Sample5024549,Sample5025684
7.553643003,Sample5024264,Sample5024475
7.538679866,PU15,Sample5024171
7.53521858,Sample5024475,Sample5026438
7.510318092,Sample5024549,Sample5025263
7.508923194,Sample5024549,Sample5025065
7.49986501,Sample5024818,Sample5025118
7.476598249,Sample5025118,Sample5026735
7.454716002,Sample5025654,Sample5026297
7.313834758,Sample5025065,Sample5026773
7.300422277,Sample5024442,Sample5024820
7.298123983,Sample5024535,Sample5026793
7.254626008,Sample5025065,Sample5025076
7.194853068,Sample5024086,Sample5026441
7.157239279,Sample5024673,Sample5026032
7.107438303,Sample5024051,Sample5024055
7.107106019,Sample5024475,Sample5026773
7.092655152,Sample5025118,Sample5025398
7.075684469,PU24,Sample5024264
7.056643938,Sample5024252,Sample5025499
6.972292409,Sample5024549,Sample5025398
6.96602056,Sample5024096,Sample5025398
6.896227199,Sample5025942,Sample5025958
6.827396075,PU12,PU4
6.741500813,PU2,Sample5024096
6.724284379,PU15,Sample5025261
6.419199751,Sample5024055,Sample5026871
6.390249559,Sample5024069,Sample5025909
6.206905265,Sample5025941,Sample5025942
6.192859368,PU4,Sample5024054
6.192658613,Sample5025118,Sample5025548
6.005915337,Sample5024054,Sample5024069
6.00549306,PU4,Sample5024069
6.002502509,Sample5026311,Sample5026468
5.999172753,Sample5024376,Sample5025257
5.999145062,PU12,Sample5025684
5.99752172,Sample5026438,Sample5026443
5.996431415,Sample5025954,Sample5026871
5.996213354,Sample5024055,Sample5026438
5.99612336,Sample5024055,Sample5025257
5.99553148,Sample5025954,Sample5026433
5.995320342,PU12,Sample5026438
5.995299574,Sample5024706,Sample5024992
5.994956907,Sample5024054,Sample5025684
